valuationdate,revenues,ebit,depreciation,capex,ncwc,bv,y
30/06/2011,86470.7,10387.5,6429.0,3512.0,16848.9,47945.1,91760.8
31/12/2010,84754.2,14031.1808,8658.6,17172.5,12095.1,66804.4,184461.7
30/09/2016,15653.48,221.3474516,647.239,749.478,1468.428,10128.726,23323.6852
30/09/2018,62001.3297,7551.761957,1808.83,2702.85,11873.25464,27144.93,130202.7924
30/09/2014,1242.83,497.1415008,232.027,1552.908,149.971,1463.052,11472.12267
31/03/2017,193930.799,48947.873,12210.142,20295.273,19125.696,249584.55,1559222.962
30/06/2012,219731.6,76841.74976,14281.8,32758.1,46280.6,191339.1,479831.9
31/12/2012,21193.9,3962.15466,824.9,1021.5,3864.0,7917.5,11524.8
31/12/2019,63918.9,17967.62,3715.24,1761.299,13819.132,20418.708,173655.3035
31/03/2017,4853.356,656.749,444.808,755.501,1077.987,4666.925,11089.98058
31/03/2012,37295.7,3121.68241,640.2,970.1,11652.3,15607.4,53021.7
31/12/2012,45759.2,6491.6,3626.3,5882.9,6876.2,29208.7,60611.6
30/09/2016,55888.742,5830.526271,1505.242,2177.768,11724.539,26309.34,125190.7821
30/09/2016,212452.7,36648.54562,1153.76,290.072,28088.504,194152.5,284686.618
31/12/2014,74400.593,8930.773162,766.51,2770.796,17470.187,69673.084,803889.819
30/09/2012,46312.5,1411.6615,384.2,295.7,4545.2,7293.3,15612.8
30/06/2016,158798.107,84304.14441,37163.576,5294.823,89531.527,416128.284,1815062.363
31/03/2020,54669.32,22845.169,401.195,959.086,7162.206,443.721,263256.2404
30/06/2012,16483.2,2028.0,942.0,413.0,1314.7,7328.2,25900.7
31/03/2018,79465.01634,10783.40272,4943.16,15675.96,5316.209593,20813.5,103304.5212
31/12/2014,420661.531,38067.60322,588.262,10480.092,116933.642,131032.679,662015.0696
31/12/2009,286804.3,28935.62451,6389.1,7746.7,24536.4,66808.8,256706.7
30/09/2019,213560.8,35194.149,3275.578,2557.672,-110740.709,147748.464,317150.7879
31/03/2011,764384.3,44617.34924,15882.6,20491.6,33963.6,145277.0,450771.0
31/12/2014,428386.135,27384.44328,220.396,30807.92,9523.962,394194.033,1266426.04
30/06/2010,486589.2,49125.14676,11274.3,9731.9,83470.52309,188977.4,611261.013
30/06/2014,141736.338,19657.65407,535.437,4293.219,32523.232,72638.034,254714.1015
30/09/2015,147122.7,18873.13766,438.814,3329.025,53793.532,195035.2,233034.6328
31/12/2010,18418.4,3646.4015,652.7,894.4,1861.112018,8744.8,28090.0
31/03/2020,231981.887,63031.974,17980.712,29603.99,40447.005,214763.987,1660777.952
30/06/2014,140733.8,17207.65842,3155.8,2474.1,10081.23,27828.4,244478.4786
31/03/2010,58204.9,5786.05018,3985.5,7396.4,6842.249303,45349.4,122183.9
30/09/2015,146427.226,35899.45341,4740.871,6447.428,17655.642,99980.86,417725.448
31/12/2014,370484.401,68813.72961,1126.171,16129.014,18435.759,202554.288,906316.2467
30/06/2016,133136.554,27830.97863,6460.683,8260.091,52.647,30780.942,398078.2965
31/12/2014,145821.693,11647.43385,382.149,5543.234,13700.401,31674.747,121020.9506
30/06/2009,262487.6,66874.33126,25612.5,72512.1,16009.4,185677.9,403268.68
31/12/2020,147629.678,14175.076,6065.653,7696.146,25437.699,65499.642,334430.0931
31/12/2010,94645.0,18817.7,16697.1,28233.9,5291.9,119764.4,290142.2
30/09/2017,1210173.823,74729.235,8792.827,8468.682,-74437.505,179507.744,755150.7349
30/09/2016,9542.384,411.6748477,306.962,292.427,1721.903,3769.096,11832.55616
31/12/2019,491966.611,75775.939,21865.364,17272.532,-39990.337,157797.126,1587370.008
30/09/2016,239094.146,29993.91773,6311.925,8387.362,15498.763,147442.556,569044.0675
30/09/2018,1919.133415,839.0451293,654.8,453.61,123.2083653,3356.599,17080.2874
30/09/2020,123734.87,21763.69,6617.15,959.053,-19103.659,118899.15,244097.1745
30/06/2010,40385.3,3990.04457,1588.2,2617.9,15169.02667,26685.6,59562.0
30/06/2013,26308.667,2026.633265,41.207,728.809,2930.061,3637.199,30883.07044
30/09/2018,1307184.748,79215.39573,9504.87,10753.26,-67973.60689,192493.744,823526.3912
31/12/2017,162255.576,56693.433,25137.685,19966.157,-1820.846,115636.6,557729.8275
30/09/2020,173308.712,43906.786,13895.218,5327.395,11768.211,190343.562,1827305.219
30/06/2011,407385.9,26387.44805,6049.5,4765.1,58322.6,108148.6,299220.3
30/09/2020,225018.2,37660.878,3909.32,2393.651,-118819.899,163443.6,324975.0353
30/09/2010,80398.4,9082.77206,3157.1,2724.8,22782.28112,52338.8,164672.9
